organization_id,sales_order,date_create,status,code,client_id,tvz_id,cost_price,price_b2b_gross,price_b2c_gross,quantity
1,2051017045,2022-06-01T18:36:03.624,0,61048,35730,656,1871.28,2101.01,2248.08,1
5,2051017046,2022-06-01T18:47:02.529,0,58561,37315,4036,2297.85,2550.44,2765.38,1
1,2051017047,2022-06-01T18:47:02.866,0,20273,48191,193,993.09,1190.99,1280.31,1
1,2051017048,2022-06-01T18:58:08.079,0,60160,29761,1036,11.16,39.10,42.03,6
1,2051017049,2022-06-01T19:09:02.325,1,61979,5767,269,694.95,763.45,816.90,1
5,2051017050,2022-06-01T19:20:02.709,0,57869,17432,3802,583.45,691.95,740.38,1
1,2051017051,2022-06-01T19:30:02.962,1,13261,66985,1179,166.83,231.58,248.95,1
1,2051017051,2022-06-01T19:30:02.962,1,21630,66985,1179,145.54,185.32,198.30,1
2,2051017052,2022-06-01T19:30:03.657,1,15301,58776,1959,1035.80,1306.33,1371.91,1
5,2051017053,2022-06-01T19:30:04.018,0,46276,18102,3886,558.84,626.82,674.64,3
1,2051017054,2022-06-01T19:41:07.155,1,45311,32679,1028,3083.87,3547.79,3797.81,1
1,2051017055,2022-06-01T19:41:07.548,0,66593,59302,526,70.70,86.31,103.46,1
1,2051017055,2022-06-01T19:41:07.548,0,42071,59302,526,106.93,147.36,158.42,1
5,2051017056,2022-06-01T19:52:07.406,1,40696,51851,3918,231.45,270.68,290.98,1
1,2051017057,2022-06-01T20:03:02.688,1,14048,69037,795,131.32,198.50,213.38,3
1,2051017058,2022-06-01T20:03:03.081,0,9638,33493,476,914.01,1129.83,1214.57,1
1,2051017059,2022-06-01T20:14:07.329,1,19013,69037,787,137.54,183.31,196.14,3
5,2051017060,2022-06-01T20:14:07.671,0,17985,57310,3487,119.39,155.39,167.04,2
5,2051017060,2022-06-01T20:14:07.671,0,56371,57310,3487,357.26,365.91,393.36,1
5,2051017061,2022-06-01T20:14:08.054,0,20282,8093,3556,720.69,871.18,936.52,1
1,2051017062,2022-06-01T20:14:08.358,0,4056,534,1382,793.70,1289.23,1385.92,1
5,2051017063,2022-06-01T20:25:02.297,0,66058,38607,3814,829.30,1068.64,1143.44,2
8,2051017064,2022-06-01T20:25:03.202,0,57783,49902,5641,1165.16,1201.66,1281.39,1
1,2051017065,2022-06-01T20:36:06.946,0,22456,25939,626,1822.95,2154.40,2315.98,1
1,2051017066,2022-06-01T20:36:07.312,0,56764,25370,1194,294.46,348.49,372.88,1
1,2051017067,2022-06-01T20:57:02.367,0,65295,22722,457,318.82,424.03,453.71,1
1,2051017068,2022-06-01T20:57:02.786,0,38738,1733,957,1714.87,1933.81,2069.18,1
1,2051017069,2022-06-01T20:57:03.084,0,21631,32685,782,197.97,270.68,290.98,1
1,2051017070,2022-06-01T20:57:03.433,0,40697,30735,205,663.30,785.97,844.92,1
5,2051017071,2022-06-01T21:18:03.009,0,65329,65754,3602,144.43,154.66,183.21,2
5,2051017071,2022-06-01T21:18:03.009,0,59635,65754,3602,785.82,761.91,819.05,1
5,2051017071,2022-06-01T21:18:03.009,0,37810,65754,3602,1177.55,1395.33,1486.15,1
5,2051017072,2022-06-01T21:18:03.554,0,60030,40250,3796,75.74,89.12,111.00,1
5,2051017072,2022-06-01T21:18:03.554,0,63284,40250,3796,631.11,666.76,713.44,1
5,2051017072,2022-06-01T21:18:03.554,0,1167,40250,3796,118.06,128.83,151.96,1
5,2051017073,2022-06-01T21:29:02.697,0,65461,17619,3571,51.86,105.75,113.16,6
1,2051017074,2022-06-01T21:39:07.766,0,47595,3049,235,269.39,343.45,367.50,2
1,2051017075,2022-06-01T21:39:08.135,0,19430,22899,555,229.49,283.72,304.99,5
1,2051017075,2022-06-01T21:39:08.135,0,17874,22899,555,561.57,848.13,911.73,1
